"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Создание нескольких сущностей возвращает уникальные идентификаторы","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","1","GET с нечисловым id возвращает 4xx","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","4","Серия PATCH применяет последнее значение","positive","2026-04-23","passed","2026-04-23","","test_update","",""
"","1","Пагинация: per_page ограничивает размер страницы","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","1","Пагинация: per_page ограничивает размер страницы","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","5","Сервис сохраняет массив important_numbers ровно как отправленный","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","8","Повторное удаление уже удалённой сущности возвращает ошибку","negative","2026-04-23","passed","2026-04-23","","test_not_found","",""
"","1","GET /api/getAll с нечисловым verified возвращает 400","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","3","GET по несуществующему id возвращает ошибку","negative","2026-04-23","passed","2026-04-23","","test_not_found","",""
"","3","PATCH перезаписывает все поля сущности","positive","2026-04-23","passed","2026-04-23","","test_update","",""
"","3","Сервис сохраняет значение verified как отправленное","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","2","Фильтр по уникальному title возвращает ровно одну запись","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","3","GET с нечисловым id возвращает 4xx","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","6","Сервис сохраняет значение verified как отправленное","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","1","POST /api/create без обязательного поля title возвращает ошибку","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","10","Фильтр по verified возвращает только сущности с заданным флагом","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","3","Фильтр по verified возвращает только сущности с заданным флагом","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","4","Сервис сохраняет массив important_numbers ровно как отправленный","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","1","GET /api/getAll возвращает страницу, содержащую созданную сущность","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","7","Сервис сохраняет массив important_numbers ровно как отправленный","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","5","GET /api/getAll с нечисловым verified возвращает 400","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","19","Создание сущности возвращает положительный id","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","2","Сервис сохраняет массив important_numbers ровно как отправленный","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","23","Создание нескольких сущностей возвращает уникальные идентификаторы","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","0","GET /api/getAll с нечисловым verified возвращает 400","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","1","POST /api/create без обязательного поля verified возвращает ошибку","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","1","GET /api/get/{id} возвращает сущность, созданную в POST","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","2","После DELETE сущность недоступна для чтения по id","positive","2026-04-23","passed","2026-04-23","","test_delete","",""
"","0","Пагинация: per_page ограничивает размер страницы","positive","2026-04-23","passed","2026-04-23","","test_read","",""
"","1","Поля созданной сущности совпадают с отправленным запросом","positive","2026-04-23","passed","2026-04-23","","test_create","",""
"","1","GET с нечисловым id возвращает 4xx","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","1","GET с нечисловым id возвращает 4xx","negative","2026-04-23","passed","2026-04-23","","test_invalid_input","",""
"","3","После DELETE сущность исчезает из списка getAll","positive","2026-04-23","passed","2026-04-23","","test_delete","",""
"","3","PATCH по несуществующему id возвращает ошибку","negative","2026-04-23","passed","2026-04-23","","test_not_found","",""
"","13","PATCH обновляет только целевую сущность, не затрагивая соседние","positive","2026-04-23","passed","2026-04-23","","test_update","",""
"","2","DELETE по несуществующему id возвращает ошибку","negative","2026-04-23","passed","2026-04-23","","test_not_found","",""
